"","point","habitat","site","latitude","longitude","elevation","depth_max","depth_min","hydroperiod_hday"
"1","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,1.396,0,31.5666666666667
"2","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,1.366,0,31.1166666666667
"3","Zn1_10","Zn","S1",21789.164,-298072.574,0.296,1.404,0,31.65
"4","Zn1_15","Zn","S1",21792.974,-298069.287,0.316,1.384,0,31.4
"5","Zn1_20","Zn","S1",21796.672,-298065.859,0.391,1.309,0,30.3666666666667
"6","Sm1_5","Sm","S1",21800.423,-298062.551,0.626,1.074,0,26.9
"7","Sm1_10","Sm","S1",21804.08,-298059.124,0.868,0.832,0,22.9
"8","Zn2_5","Zn","S2",22956.976,-297418.672,-0.802,2.502,0,46.4333333333333
"9","Zn2_10","Zn","S2",22953.883,-297422.785,-0.585,2.285,0,43.35
"10","Zn2_15","Zn","S2",22950.905,-297426.603,-0.388,2.088,0,40.6833333333333
"11","Zn2_20","Zn","S2",22947.866,-297430.661,-0.138,1.838,0,37.3666666666667
"12","Zn2_25","Zn","S2",22944.806,-297434.575,0.122,1.578,0,33.9666666666667
"13","Zn2_27","Zn","S2",22943.426,-297436.341,0.218,1.482,0,32.7166666666667
"14","Sm2_5","Sm","S2",22940.079,-297440.028,0.47,1.23,0,29.3
"15","Sm2_10","Sm","S2",22936.621,-297443.612,0.65,1.05,0,26.5166666666667
"16","Sm2_12","Sm","S2",22935.304,-297445.096,0.409,1.291,0,30.1166666666667
"17","Zn3_0","Zn","S3",22606.589,-296418.715,-1.436,3.136,0,58.4333333333333
"18","Zn3_5","Zn","S3",22601.8115,-296417.462,-1.3145,3.0145,0,55.4666666666667
"19","Zn3_10","Zn","S3",22597.034,-296416.209,-1.193,2.893,0,52.9166666666667
"20","Zn3_15","Zn","S3",22592.356,-296414.77,-0.989,2.689,0,49.3
"21","Zn3_20","Zn","S3",22587.53,-296413.356,-0.875,2.575,0,47.55
"22","Zn3_25","Zn","S3",22582.652,-296411.907,-0.729,2.429,0,45.4166666666667
"23","Zn3_30","Zn","S3",22577.854,-296410.77,-0.596,2.296,0,43.5166666666667
"24","Zn3_35","Zn","S3",22572.855,-296409.262,-0.473,2.173,0,41.85
"25","Zn3_40","Zn","S3",22567.989,-296408.042,-0.301,2.001,0,39.55
"26","Zn3_45","Zn","S3",22563.225,-296406.677,-0.155,1.855,0,37.6
"27","Zn3_50","Zn","S3",22558.372,-296405.172,-0.036,1.736,0,36.05
"28","Zn3_55","Zn","S3",22553.595,-296403.829,0.013,1.687,0,35.4333333333333
"29","Zn3_60","Zn","S3",22548.811,-296402.119,0.16,1.54,0,33.4666666666667
"30","Sm3_5","Sm","S3",22544.305,-296400.676,0.341,1.359,0,31.0333333333333
"31","Sm3_10","Sm","S3",22539.456,-296398.856,0.363,1.337,0,30.7333333333333
"32","Sm3_15","Sm","S3",22534.859,-296397.953,0.354,1.346,0,30.8666666666667
"33","Sm3_20","Sm","S3",22529.783,-296395.904,0.244,1.456,0,32.3666666666667
"34","Sm3_25","Sm","S3",22525.364,-296394.752,0.278,1.422,0,31.9166666666667
"35","Zn4_0","Zn","S4",22089.388,-295800.178,-0.493,2.193,0,42.1
"36","Zn4_5","Zn","S4",22092.709,-295796.611,-0.208,1.908,0,38.3166666666667
"37","Zn4_7","Zn","S4",22094.258,-295795.428,0.07,1.63,0,34.6333333333333
"38","Sm4_8","Sm","S4",22094.894,-295794.804,0.114,1.586,0,34.0666666666667
"39","Sm4_12","Sm","S4",22097.589,-295791.415,0.374,1.326,0,30.6166666666667
"40","Sm4_15","Sm","S4",22099.22,-295789.262,0.601,1.099,0,27.2833333333333
